date,member_a,member_b,stream_title,video_no
2026-02-15,ayatsuno_yuni,sakihane_huya,러너리그 내전 / 린 듀엣곡 후야 유니 커버곡 두쫀쿠 만들기 영상 많관부 ,11772581
2026-02-15,ayatsuno_yuni,aokumo_rin,러너리그 내전 / 린 듀엣곡 후야 유니 커버곡 두쫀쿠 만들기 영상 많관부 ,11772581
2026-01-20,ayatsuno_yuni,sakihane_huya,앤더드래곤후야랑 잡고페이트 같이보기를하고싶음니다오늘도열심히할게요안울게요기엽게웃고할게요 ,11345533
2026-01-20,ayatsuno_yuni,sakihane_huya,앤더 하코런 w 후야 ,11331392
2026-01-14,ayatsuno_yuni,shirayuki_hina,"타비 리코 ( 히나 ? ) 가 없는 방 ,,,,",11232388
2026-01-14,ayatsuno_yuni,arahashi_tabi,"타비 리코 ( 히나 ? ) 가 없는 방 ,,,,",11232388
2026-01-14,ayatsuno_yuni,yuzuha_riko,"타비 리코 ( 히나 ? ) 가 없는 방 ,,,,",11232388
2025-11-22,ayatsuno_yuni,sakihane_huya,오늘 후야랑 첫 버텀 만남 ,10361657
2025-10-05,ayatsuno_yuni,aokumo_rin,오늘 목표 사장님한테는 살아남기 리코 부키 잡기 린 도와주기 ,9596620
2025-10-05,ayatsuno_yuni,yuzuha_riko,오늘 목표 사장님한테는 살아남기 리코 부키 잡기 린 도와주기 ,9596620
2025-05-06,ayatsuno_yuni,aokumo_rin,수상하게 눈치 빠른 오린이 ,7121961
2025-03-20,ayatsuno_yuni,aokumo_rin,웃음벨 린아가랑 러스트 헤보기 ,6372170
2025-01-30,ayatsuno_yuni,shirayuki_hina,"새해 많이 주세요 W. 히나,리제,린",5553030
2025-01-30,ayatsuno_yuni,akane_lize,"새해 많이 주세요 W. 히나,리제,린",5553030
2025-01-30,ayatsuno_yuni,aokumo_rin,"새해 많이 주세요 W. 히나,리제,린",5553030
2024-11-11,ayatsuno_yuni,hanako_nana,라이어스바 w.칸나 시로 나나,4295215
2024-09-27,ayatsuno_yuni,arahashi_tabi,"유니 💜타비
",3635982
2024-07-02,ayatsuno_yuni,shirayuki_hina,재능 찾고 감 / 6시 히나 합방 / 8시 부키 리코 합류 ,2321745
2024-07-02,ayatsuno_yuni,yuzuha_riko,재능 찾고 감 / 6시 히나 합방 / 8시 부키 리코 합류 ,2321745
2024-06-28,ayatsuno_yuni,tenko_shibuki, 시부키 ,2269021
2026-02-22,sakihane_huya,neneko_mashiro,600원으로 시작하는 픽크타 생활 / 스텔라이브 네네코 마시로 생일 축하해!!! 😸🎉,11892256
2026-02-19,sakihane_huya,aokumo_rin,슈린을 다시는 꺼내지 않겠습니다 (2027년의 새해 목표),11844236
2026-02-19,sakihane_huya,aokumo_rin,린이랑 섬 나들이~,11831639
2026-02-02,sakihane_huya,akane_lize,리제로 매니아의 에프터 토크,11550725
2026-02-01,sakihane_huya,akane_lize,리제로 매니아의 스포일러 참기,11540415
2026-01-12,sakihane_huya,ayatsuno_yuni,안녕유니야내가어디서부터말을시작해야할지모르겠다너를처음본순간부터운명이라고느꼈어너에게직접적으로말한적은없었지만내가너에게하는행동들로어느정도너도눈치채고있었을거야이제서야드디어용기를내어서너에게고,11207590
2025-12-16,sakihane_huya,akane_lize,봇듀오 드가쟈 (w 리제),10746285
2025-12-15,sakihane_huya,akane_lize,7시 30분에 리제님이랑 마크 원블럭 챌린지! ,10738536
2025-12-15,sakihane_huya,aokumo_rin,7시 30분에 리제님이랑 마크 원블럭 챌린지! ,10738536
2025-12-15,sakihane_huya,arahashi_tabi,린 후야 타비 협곡 나들이💙💜💙,10730193
2025-12-15,sakihane_huya,aokumo_rin,린 후야 타비 협곡 나들이💙💜💙,10730193
2025-11-21,sakihane_huya,ayatsuno_yuni,"롤 3연승 해버리기~ (사장님, 부키, 시로,  유니 , 후야) + 후열 이리",10355694
2025-11-17,sakihane_huya,ayatsuno_yuni,"아크 레이더스 새로운 파티 (유니, 린)",10291743
2025-11-17,sakihane_huya,aokumo_rin,"아크 레이더스 새로운 파티 (유니, 린)",10291743
2025-11-15,sakihane_huya,tenko_shibuki,"아크 레이더스 새 파티! (나나, 시부키)",10243498
2025-11-15,sakihane_huya,hanako_nana,"아크 레이더스 새 파티! (나나, 시부키)",10243498
2025-11-13,sakihane_huya,arahashi_tabi,아크 레이더스 재밌어요(w 타비 린),10212804
2025-11-13,sakihane_huya,aokumo_rin,아크 레이더스 재밌어요(w 타비 린),10212804
2025-11-06,sakihane_huya,yuzuha_riko,리코님과 함께 한 젠레스 존 제로 광고 방송 [이드하리 이쁨],10111006
