video_no,title,date,duration_min,category,view_count,member_id,member_name,generation,unit,collab_members,is_collab
13507075,라단 경 왕 < 유니가 죽을떄까지,2026-06-02,877.1,엘든 링 황금 나무의 그림자,7442,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
13491095,DLC의 시간이야 ,2026-06-01,616.0,talk,4521,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
13479079,유니 생일라이브 다시 같이 보기 ,2026-05-31,303.0,,2377,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
13468756,섬을가 ,2026-05-31,309.4,이터널 리턴,2889,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
13455551," DLC 에 시간 인가 ,, ",2026-05-30,497.4,엘든 링,3107,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
13437440,DLC 헤보께요 무서워요 아나줘요 ,2026-05-29,446.5,엘든 링 황금 나무의 그림자,3565,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
13429222,유니 입맛 이제 한국인 ,2026-05-28,12.6,talk,885,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
13420967,말레니아 잡고싶어요 ....,2026-05-28,438.9,talk,2837,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
13408092,여로분이랑 놀기 ,2026-05-27,538.6,talk,3067,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
13326157,돌아왔노 유니 등장 ,2026-05-22,266.9,talk,5935,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
13270148,말레니아 만나로가기 ,2026-05-18,908.2,엘든 링,5925,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
13252105,왕이 되고싶다 어어 그럴자격없다 앵딩 보고싶다 어어 그럴자격없다  ,2026-05-17,822.7,엘든 링,5197,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
13234325,무르 ,2026-05-16,982.6,talk,4191,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
13215518,",,,,",2026-05-15,411.1,talk,2978,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
13184377,후야 괴롭힌다음에 하는 앨든링 끼모띠 ,2026-05-13,495.3,talk,3323,ayatsuno_yuni,아야츠노 유니,1,Everys,sakihane_huya,True
13169633,아 즈ㅖ쯔ㅔ이야 니 통나무 ,2026-05-12,558.4,talk,3036,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
13153731,1년 넘 만에 발로란트 우아 뉴비에요 >< ,2026-05-11,400.4,talk,2836,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
13120812,트린가드랑 데이트 끝나고 린이랑 데이트 ,2026-05-09,645.1,talk,7335,ayatsuno_yuni,아야츠노 유니,1,Everys,aokumo_rin,True
13105307,포쳄스 해보기 ,2026-05-08,580.2,talk,3601,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
13089316,오랜만에 도박 열어줄게 ,2026-05-07,547.5,talk,4793,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12903544,일본섭 유니유니 ,2026-04-25,296.6,talk,7190,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12889399,"버튜버 눈 마추기 하는날 !!! 그리고 남의 컴 맘대로 한굴 깔았어요 ,, ㅎ ",2026-04-25,279.1,talk,6121,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12873081,qhrhtlvdjTdjdy ,2026-04-23,113.4,talk,10643,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12870309,qhrhtlvdjTdjdy ,2026-04-23,2.1,talk,7153,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12588860,통나무잃었다고 나한테 뭐라뭐라 하지마라ㅏㅏㅏㅏㅏ,2026-04-05,581.6,talk,9422,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12550133,엘든링띵떵 ~ ( 진짜임 ) ,2026-04-03,241.2,talk,3004,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12536973,기습 사과게임 10등 이상 하고 싶어서 1시간만 방송 키로왔어요 저 미팅이있어서 기분좋게 서로서로 눈치 보면서 절 10등 이상 시켜주세요 어자피 너 개 못하자나 ,2026-04-02,73.2,talk,1709,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12525727,이쁜 유니 다시 왔따 !!! ,2026-04-02,153.6,talk,3295,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12517600,이쁜 유니가 만나로왔어요 !!!!!!!!!!!!!!!!!!!!!!!!!!,2026-04-01,54.3,talk,10696,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12485385,앨든링띵똥 ,2026-03-30,246.6,talk,3239,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12460496,밀키트 선생님 컷 ㅋ 내전 둘어가욧 ,2026-03-29,650.1,talk,4347,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12427255,안녕하세요 오늘 오버워치할건데 혹시 탱커 돌려주시겠어요 ? 제가 힐 마니넣어줄게요 나노도줄게 구슬도 써줄게 어떄요? ,2026-03-27,378.4,talk,2499,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12367816,인생 첫 ELDEN RING ,2026-03-23,728.5,talk,5645,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12337876,내가 잘하는게임을 할려는 뿐이라고 ,2026-03-21,248.3,talk,2817,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12320492,내가 잘하는게임을 할려는 뿐인데 ,2026-03-20,261.1,레이튼 교수와 악마의 상자 HD,4507,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12266248,돌려 ,2026-03-17,543.9,오버워치,6314,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12249894,무관 심 해 !,2026-03-16,516.9,talk,4187,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12217944,행복내전시간 ,2026-03-14,608.2,오버워치,5948,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12201531,[라이벌클래시]  대회 1일차 이겨보쟈 ~!!!!!,2026-03-13,629.0,오버워치,4061,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12181526,[라이벌클래시]  스크림 아이스크림 2일차 ,2026-03-12,415.8,오버워치,2244,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12169787,[라이벌클래시]  스크림 아이스크림 ,2026-03-11,877.7,오버워치,3971,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12153744,오늘도 유니유니 / 6시 [라이벌클래시] 팀 뽑기 ,2026-03-10,936.9,오버워치,6254,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12113081,"WBC야구 한국 vs 일본 야구 처음 봐요,,,,,, 누가 이길까요 ,,,,",2026-03-07,270.3,talk,3605,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12101217,옵치 고티어 내전 가볼께요 !!!,2026-03-07,640.4,talk,3260,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12083176,"증거티어내전 가볼께요 ,,,!!!!!",2026-03-06,609.4,오버워치,4296,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12052866,신착 바이오 레퀴앰  끝까지 가볼까요 !!!!,2026-03-04,464.7,talk,3159,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
12034085,신착 바이오 레퀴앰  하는날 ,2026-03-03,482.4,talk,5039,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11996453,러너리그가 끝났뗘 ㅠㅠㅠㅠㅠ ,2026-02-28,245.2,talk,4349,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11979933,[러너리그 시즌4] 센세 오디가 팀 / 제발 유니에게 우승을 ㅠㅠㅠㅠㅠㅠㅠㅠ ,2026-02-27,328.6,오버워치,4772,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11965769,[러너리그 시즌4] 센세 오디가 팀 / 후자케루나 4등은 안댄다 후자케루나 4등은 안댄다 후자케루나 4등은 안댄다 후자케루나 4등은 안댄다 후자케루나 4등은 안댄다 ,2026-02-27,396.5,오버워치,10660,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11949483,[러너리그 시즌4] 대회날 !!!! 팀 센세 오디가  !!,2026-02-26,422.0,오버워치,5404,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11931898,[러너리그 시즌4] 대회날 !!!! 팀 센세 오디가  ,2026-02-25,374.4,오버워치,7481,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11918046,[러너리그 시즌4] 스크림 4일체 센세 오디가 센세 오디가 센세 오디가 센세 오디가 센세 오디가 센세 오디가 센세 오디가 센세 오디가 센세 오디가 센세 오디가 센세 오디가 센세 오,2026-02-24,417.1,오버워치,3261,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11904646,[러너리그 시즌4] 스크림 3일체 센세 오디가 센세 오디가 센세 오디가 센세 오디가 센세 오디가 센세 오디가 센세 오디가 센세 오디가 센세 오디가 센세 오디가 센세 오디가 센세 오,2026-02-23,562.5,talk,5149,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11888090,[러너리그 시즌4] 스크림 2일체 ,2026-02-22,830.9,오버워치,4276,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11869596,[러너리그 시즌4] 첫 스크림 !!!!!!!!!!!!!!,2026-02-21,758.4,talk,8284,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11850167,러너리그 마지막 내전 ,2026-02-20,607.9,오버워치,5411,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11816343,러너리그 내전 저 잘하지 못한 힐러 임니다 4등을 3번이나 했는데요  절대 뽑지않을걸 추전 함니다 ,2026-02-18,391.0,오버워치,4489,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11803139,"러너리그 내전 연습 오늘도 ,, ",2026-02-17,403.0,오버워치,3155,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11796443,올림픽 증계 !!!!!! 한국 은원함니다 !!!!!!,2026-02-16,129.2,동계 올림픽,2375,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11789691,러너리그 내전 늦게 둘어가기 ,2026-02-16,209.4,talk,2680,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11786198,올림픽 컬링 일본 x 한국 증계 같이 볼사람 ~!! ,2026-02-16,205.8,동계 올림픽,3278,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11772581,러너리그 내전 / 린 듀엣곡 후야 유니 커버곡 두쫀쿠 만들기 영상 많관부 ,2026-02-15,366.0,오버워치,4417,ayatsuno_yuni,아야츠노 유니,1,Everys,"sakihane_huya,aokumo_rin",True
11730658,러너리그 맴버 첫 내전 감니다 !!! ,2026-02-12,435.9,talk,5492,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11719052,싸우자 ,2026-02-12,396.1,talk,2475,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11705608,옵치 업뎃 고고고고고 !!! ,2026-02-11,613.6,talk,3197,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11668538,3부 Q돌려잇 ! ,2026-02-09,425.6,talk,3325,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11652769,배도라지 ? 내전 6시!!!!!!!!!!!!!!!,2026-02-08,616.5,talk,5278,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11618997,오늘나온 신착공포게임 우미가리 ,2026-02-06,775.6,talk,4416,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11570625,2026년 02월 02일 1부 아야츠노 정싱을 몰라 ? ,2026-02-03,1020.0,리그 오브 레전드,5737,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11550825,"나 지금 이러났어 ㅡ,ㅡ",2026-02-02,178.5,talk,4006,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11546113,봉봉밤 둘어가보께여 ,2026-02-01,507.8,마인크래프트,4633,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
11500431,사람 아니야 ? ,2026-01-30,376.2,talk,4282,ayatsuno_yuni,아야츠노 유니,1,Everys,,False
