date,member_id,member_name,subscriber_count,video_count,total_views
2026-04-15,ayatsuno_yuni,아야츠노 유니,346000,679,180216008
2026-04-15,sakihane_huya,사키하네 후야,113000,235,36607579
2026-04-15,shirayuki_hina,시라유키 히나,300000,536,150230670
2026-04-15,neneko_mashiro,네네코 마시로,0,0,0
2026-04-15,akane_lize,아카네 리제,316000,496,232320602
2026-04-15,arahashi_tabi,아라하시 타비,230000,700,151900090
2026-04-15,tenko_shibuki,텐코 시부키,203000,494,145648357
2026-04-15,aokumo_rin,아오쿠모 린,243000,351,137926762
2026-04-15,hanako_nana,하나코 나나,1,0,0
2026-04-15,yuzuha_riko,유즈하 리코,180000,458,116946668
2026-04-15,neneko_mashiro,네네코 마시로,0,0,0
2026-04-15,hanako_nana,하나코 나나,1,0,0
2026-04-15,neneko_mashiro,네네코 마시로,0,0,0
2026-04-15,hanako_nana,하나코 나나,1,0,0
2026-04-15,ayatsuno_yuni,아야츠노 유니,346000,679,180216008
2026-04-15,sakihane_huya,사키하네 후야,113000,235,36607579
2026-04-15,shirayuki_hina,시라유키 히나,300000,536,150230670
2026-04-15,neneko_mashiro,네네코 마시로,0,0,0
2026-04-15,akane_lize,아카네 리제,316000,496,232320602
2026-04-15,arahashi_tabi,아라하시 타비,230000,700,151900090
2026-04-15,tenko_shibuki,텐코 시부키,203000,494,145648357
2026-04-15,aokumo_rin,아오쿠모 린,243000,351,137926762
2026-04-15,hanako_nana,하나코 나나,1,0,0
2026-04-15,yuzuha_riko,유즈하 리코,180000,458,116946668
2026-04-15,ayatsuno_yuni,아야츠노 유니,346000,679,180216008
2026-04-15,sakihane_huya,사키하네 후야,113000,235,36607579
2026-04-15,shirayuki_hina,시라유키 히나,300000,536,150230670
2026-04-15,neneko_mashiro,네네코 마시로,0,0,0
2026-04-15,akane_lize,아카네 리제,316000,496,232320602
2026-04-15,arahashi_tabi,아라하시 타비,230000,700,151900090
2026-04-15,tenko_shibuki,텐코 시부키,203000,494,145648357
2026-04-15,aokumo_rin,아오쿠모 린,243000,351,137926762
2026-04-15,hanako_nana,하나코 나나,1,0,0
2026-04-15,yuzuha_riko,유즈하 리코,180000,458,116946668
2026-04-15,ayatsuno_yuni,아야츠노 유니,346000,679,180216008
2026-04-15,sakihane_huya,사키하네 후야,113000,235,36607579
2026-04-15,shirayuki_hina,시라유키 히나,300000,536,150230670
2026-04-15,neneko_mashiro,네네코 마시로,0,0,0
2026-04-15,akane_lize,아카네 리제,316000,496,232320602
2026-04-15,arahashi_tabi,아라하시 타비,230000,700,151900090
2026-04-15,tenko_shibuki,텐코 시부키,203000,494,145648357
2026-04-15,aokumo_rin,아오쿠모 린,243000,351,137926762
2026-04-15,hanako_nana,하나코 나나,1,0,0
2026-04-15,yuzuha_riko,유즈하 리코,180000,458,116946668
2026-04-15,ayatsuno_yuni,아야츠노 유니,346000,679,180216008
2026-04-15,sakihane_huya,사키하네 후야,113000,235,36607579
2026-04-15,shirayuki_hina,시라유키 히나,300000,536,150230670
2026-04-15,neneko_mashiro,네네코 마시로,0,0,0
2026-04-15,akane_lize,아카네 리제,316000,496,232320602
2026-04-15,arahashi_tabi,아라하시 타비,230000,700,151900090
2026-04-15,tenko_shibuki,텐코 시부키,203000,494,145648357
2026-04-15,aokumo_rin,아오쿠모 린,243000,351,137926762
2026-04-15,hanako_nana,하나코 나나,1,0,0
2026-04-15,yuzuha_riko,유즈하 리코,180000,458,116946668
2026-04-15,ayatsuno_yuni,아야츠노 유니,346000,679,180216008
2026-04-15,sakihane_huya,사키하네 후야,113000,235,36607579
2026-04-15,shirayuki_hina,시라유키 히나,300000,536,150230670
2026-04-15,neneko_mashiro,네네코 마시로,0,0,0
2026-04-15,akane_lize,아카네 리제,316000,496,232320602
2026-04-15,arahashi_tabi,아라하시 타비,230000,700,151900090
2026-04-15,tenko_shibuki,텐코 시부키,203000,494,145648357
2026-04-15,aokumo_rin,아오쿠모 린,243000,351,137926762
2026-04-15,hanako_nana,하나코 나나,1,0,0
2026-04-15,yuzuha_riko,유즈하 리코,180000,458,116946668
2026-04-15,ayatsuno_yuni,아야츠노 유니,346000,679,180216008
2026-04-15,sakihane_huya,사키하네 후야,113000,235,36607579
2026-04-15,shirayuki_hina,시라유키 히나,300000,536,150230670
2026-04-15,neneko_mashiro,네네코 마시로,166000,385,50487127
2026-04-15,arahashi_tabi,아라하시 타비,230000,700,151900090
2026-04-15,tenko_shibuki,텐코 시부키,203000,494,145648357
2026-04-15,aokumo_rin,아오쿠모 린,243000,351,137926762
2026-04-15,hanako_nana,하나코 나나,180000,394,117716261
2026-04-15,yuzuha_riko,유즈하 리코,180000,458,116946668
2026-04-15,ayatsuno_yuni,아야츠노 유니,346000,679,180216008
2026-04-15,sakihane_huya,사키하네 후야,113000,235,36607579
2026-04-15,shirayuki_hina,시라유키 히나,300000,536,150230670
2026-04-15,neneko_mashiro,네네코 마시로,166000,385,50487127
2026-04-15,akane_lize,아카네 리제,316000,496,232320602
2026-04-15,arahashi_tabi,아라하시 타비,230000,700,151900090
2026-04-15,tenko_shibuki,텐코 시부키,203000,494,145648357
2026-04-15,aokumo_rin,아오쿠모 린,243000,351,137926762
2026-04-15,hanako_nana,하나코 나나,180000,394,117716261
2026-04-15,yuzuha_riko,유즈하 리코,180000,458,116946668
